BlockNo_	S3300047	S3300074	S3300239
Block1	0.01581	0.02931	0.03666
Block2	0.63848	0.41214	0.41915
Block3	0.94684	0.95956	0.94628
Block4	0.81224	0.76777	0.74629
Block5	0.22945	0.28197	0.28089
Block6	0.79091	0.76633	0.7733
Block7	0.75961	0.64622	0.68901
Block8	0.5796	0.49385	0.42398
Block9	0.0058	0.00307	0.00171
Block10	0.84483	0.81056	0.80149
Block11	0.0936	0.14968	0.10515
Block12	0.83886	0.89022	0.88636
Block13	0.63268	0.61389	0.64644
Block14	0.00056	0.01771	0.009
Block15	0.8796	0.87685	0.87391
Block16	0.0178	0.02609	0.02858
Block17	0.79305	0.76603	0.75598
Block18	0.00628	0.0032	0.0055
Block19	0.81224	0.83551	0.7987
Block20	0.87983	0.87437	0.8794
Block21	0.3045	0.32715	0.29103
Block22	0.7991	0.82307	0.79879
Block23	0.11907	0.15817	0.16687
Block24	0.78823	0.7989	0.75649
Block25	0.81112	0.78779	0.81997
Block26	0.88703	0.86954	0.88024
Block27	0.03237	0.09907	0.08155
Block28	0.85821	0.68173	0.69517
Block29	0.8125	0.50633	0.40625
Block30	0.30694	0.26185	0.20969
Block31	0.01476	0.02478	0.01805
Block32	0.00181	0.00404	0.00599
Block33	0.74998	0.74566	0.71252
Block34	0.67709	0.43655	0.47289
Block35	0.87757	0.83774	0.83873
Block36	0.64066	0.63937	0.63354
Block37	0.8	0.82685	0.78504
Block38	0.91343	0.89734	0.92274
Block39	0.83254	0.82435	0.82607
Block40	0.02159	0.02194	0.03126
Block41	0.76013	0.74051	0.74664
Block42	0.05047	0.12897	0.08233
Block43	0.04101	0.04171	0.05655
Block44	0.94359	0.94859	0.94205
Block45	0.84524	0.85564	0.8516
Block46	0.77674	0.71992	0.71436
Block47	0.00152	0.00016	0.00041
Block48	0.84134	0.85348	0.85807
Block49	0.78387	0.73218	0.6456
Block50	0.85577	0.83914	0.83009
Block51	0.87452	0.80259	0.79068
Block52	0	0.00023	0.00017
Block53	0.83538	0.82844	0.84297
Block54	0.0495	0.1086	0.09698
Block55	0.58616	0.5253	0.46235
Block56	0.80097	0.81554	0.81366
Block57	0.92895	0.87781	0.9071
Block58	0.00587	0.00656	0.01322
Block59	0.78579	0.68143	0.65218
Block60	0.75	0.69231	0.73333
Block61	0.02659	0.08576	0.03996
Block62	0.81122	0.81304	0.85319
Block63	0.00298	0.00169	0.00116
Block64	0.20333	0.26075	0.23478
Block65	0.13814	0.12724	0.11843
Block66	0.73795	0.6952	0.643
Block67	0.72481	0.65664	0.65889
Block68	0.88728	0.88856	0.90111
Block69	0.66633	0.61652	0.64633
Block70	0.00671	0.00771	0.006
Block71	0.90417	0.90122	0.87383
Block72	0.0348	0.02301	0.07085
Block73	0.52765	0.38724	0.41048
Block74	0.38984	0.34077	0.34693
Block75	0.87199	0.89303	0.90904
Block76	0.64732	0.70182	0.7118
